player,team,conf,games,min_pct,ortg,usg,efg,ts_pct,or_pct,dr_pct,ast_pct,to_pct,ftm,fta,ft_pct,two_m,two_a,two_pct,three_m,three_a,three_pct,blk_pct,stl_pct,ftr,yr,ht,num,porpag,adj_oe,drtg,year,pid,hometowncity,rpi,stars,bpm,obpm,dbpm,gbpm,mp,ogbpm,dgbpm,oreb,dreb,treb,ast,stl,blk,pts,ast_to,rk_ortg,rk_usg,rk_efg,rk_ts,rk_or,rk_dr,rk_ast,rk_to,rk_blk,rk_stl,rk_ftr,rk_porpag,rk_adj_oe,rk_bpm,rk_obpm,rk_dbpm
Antwann Jones,UNC Greensboro,SC,6,4.6,75.2,19.2,37.5,38.35,7.8,18,6.2,25.7,1,2,0.5,3,10,0.3,2,6,0.333,2.1,2,12.5,Sr,6-6,0,-0.645403,73.0593,4.1,2026,65925,"Orlando, FL",79,0.50005835,2,5,1,5,0.4,0.2,0,0,,,115.683,115.384,0.634547,10.8614,-8.98565,-7.19305,-1.7926,-8.81733,11.4857,-5.76757,-3.04976,0.5714,1.5714,2.1429,0.4286,0.2857,0.1429,3.4286,Wing F,5.8505,1999-05-29
Elijah Elliott,New Mexico St.,CUSA,29,46.9,101.6,26.7,41.9,47.79,1.8,10,25.8,14.9,63,81,0.778,40,111,0.36,35,110,0.318,1.1,2.2,36.7,Sr,6-1,11,1.09502,109.173,3.1,2026,67572,"Houston, TX",,1.73166481,16,34,24,77,0.4706,0.3117,0,0,,,109.822,110.397,1.56191,88.5456,-0.973155,0.337965,-1.31112,0.0378349,18.6323,0.653541,-0.615706,0.2903,1.6452,1.9355,2.2903,0.7419,0.1613,8.2581,Scoring PG,11.8498,1999-10-15
Doctor Bradley,Bethune Cookman,SWAC,8,14,103.4,30,55.2,54.04,8.7,29.3,28,17,21,44,0.477,34,60,0.567,2,7,0.286,5.1,3.2,65.7,Sr,6-8,13,1.25108,108.984,3.9,2026,70326,"Los Angeles, CA",,1.375,32,51,2,9,0.6275,0.2222,5,7,0.7143,,97.5289,106.165,2.1235,46.4699,5.48102,0.787929,4.69309,5.69559,22.0375,1.75002,3.94557,1.625,5.875,7.5,2.75,1.25,1.125,11.875,PF/C,2.23708,2000-10-15
Rahmir Moore,Delaware St.,MEAC,22,43.6,97.9,18.4,43.4,49.99,5.3,10.8,10.5,16.6,43,59,0.729,24,57,0.421,17,57,0.298,0.5,1.4,51.8,Sr,6-2,0,-0.103736,90.9776,2.6,2026,70501,"Philadelphia, PA",,1.16006237,16,31,8,26,0.5161,0.3077,1,1,1,,110.862,118.377,1.19307,65.9799,-4.84786,-2.95078,-1.89708,-4.54529,21.3038,-2.51058,-2.03471,1.1154,1.6538,2.7692,1.1154,0.4615,0.0769,6.5769,Wing G,7.25452,2000-07-26
Alex Hemenway,Evansville,MVC,30,65.8,93.4,14.3,43.3,46.48,1.2,7.7,6.3,9.9,27,33,0.818,13,38,0.342,47,155,0.303,0.5,0.9,17.1,Sr,6-4,12,-0.383245,88.174,2.5,2026,70621,"Newburgh, IN",24,1.42101717,9,22,4,16,0.4091,0.25,1,1,1,,120.301,118.954,1.40848,102.864,-4.47401,-1.50778,-2.96623,-5.04654,25.8969,-2.81935,-2.22718,0.3125,1.625,1.9375,0.8438,0.375,0.0938,6.7188,Combo G,11.5599,2001-06-17
Addison Patterson,Eastern Michigan,MAC,30,74.8,109.6,23.5,59.1,60.62,5.1,14.7,18.9,19.7,48,67,0.716,152,238,0.639,20,70,0.286,1.2,2.2,21.8,Sr,6-7,9,2.1575,113.153,3.6,2026,70754,"Mississauga, Canada",,1.14085497,121,170,31,68,0.7118,0.4559,28,30,0.9333,,107.198,107.119,2.82855,162.41,1.91902,0.858959,1.06006,2.17299,29.7258,1.26448,0.908504,1.3871,3.9355,5.3226,2.6129,1.0968,0.3226,13.7097,Wing G,4.54603,2001-06-09
Rienk Mast,Nebraska,B10,34,70.4,112.5,25.8,50.8,53.99,9.4,13.5,20.8,13.4,65,79,0.823,119,221,0.538,50,161,0.311,1.4,0.8,20.7,Sr,6-10,51,3.27974,124.982,2.4,2026,70772,"Groningen, Netherlands",,1.84205199,73,108,46,113,0.6759,0.4071,2,2,1,,102.213,95.4577,3.91299,161.779,5.41459,3.08048,2.33411,4.758,29.1941,3.12829,1.62972,2.2647,3.5,5.7647,3.0882,0.4118,0.2941,13.3235,Stretch 4,9.77104,2001-07-19
Rick Issanza,Loyola Marymount,WCC,29,37.9,104.9,10.2,65.3,58.41,9.5,14.5,2.9,22.9,11,32,0.344,32,48,0.667,0,1,0,9.6,1.1,65.3,Sr,7-1,22,-0.0220359,91.9763,5,2026,70789,"Kinshasa, Congo, the Democratic Republic of the",1.8,0.42112742,28,38,4,10,0.7368,0.4,21,24,0.875,,103.341,101.927,1.82357,92.9374,2.51871,-3.04916,5.56787,0.088484,16.25,-3.3483,3.43679,1.3,2.0667,3.3667,0.2667,0.3333,1.4333,2.6333,C,0.123106,2000-10-15
Steele Venters,Gonzaga,WCC,27,28.9,112.9,15.2,54.4,55.97,1.4,7.9,10,15.7,10,12,0.833,8,16,0.5,36,98,0.367,0.6,2.4,10.5,Sr,6-7,2,0.799498,107.735,3.3,2026,70941,"Ellensburg, WA",,1.64707745,6,8,2,8,0.75,0.25,2,2,1,,97.7097,94.5864,2.06975,71.0297,3.56885,1.5984,1.97046,2.9677,15.063,0.283299,2.6844,0.1852,1.1111,1.2963,1.037,0.6296,0.0741,4.963,Wing G,13.7356,2001-05-16
Micah Thomas,Northwestern St.,Slnd,30,76.4,103.2,30.2,47.1,54.3,1.2,6.6,22.5,16.1,129,140,0.921,116,266,0.436,46,127,0.362,0.5,1.5,35.6,Sr,6-0,5,2.41876,115.17,2.4,2026,70961,"Oklahoma City, OK",,1.17810805,35,80,81,186,0.4375,0.4355,0,0,,,115.665,117.861,1.75098,119.881,-3.82742,-0.303108,-3.52431,-1.05387,30.2031,1.27409,-2.32796,0.3125,1.6562,1.9688,2.6875,0.9062,0.125,16.75,Scoring PG,8.4363,2000-10-15
